Temperature,CO2,VOC,Time
-0.625,400,0,00:53:04
-0.625,400,0,00:53:05
-0.625,400,0,00:53:06
-0.625,400,0,00:53:07
-0.5625,400,0,00:53:09
-0.625,400,0,00:53:10
-0.5625,400,0,00:53:11
-0.625,400,0,00:53:12
-0.625,400,0,00:53:14
-0.625,400,0,00:53:15
-0.625,400,0,00:53:16
-0.625,400,0,00:53:17
-0.625,400,0,00:53:19
-0.625,400,0,00:53:20
-0.625,400,0,00:53:21
-0.625,400,0,00:53:22
-0.625,400,0,00:53:23
-0.625,400,0,00:53:25
-0.625,400,0,00:53:26
-0.625,400,0,00:53:27
-0.625,400,0,00:53:28
-0.625,400,0,00:53:30
